urine_output,urine_flow_rate,catheter_bag_volume,remaining_catheter_bag_volume,time
850,425,850,150,0:21
1080,540,0,1000,3:51
180,90,180,820,13:06
170,85,350,650,13:38
480,240,830,170,8:42
300,150,300,700,14:40
300,150,600,400,14:40
400,200,400,600,17:00
450,225,850,150,16:40
300,150,300,700,22:40
250,125,550,450,23:36
290,145,840,160,23:06
800,400,800,200,0:30
150,75,950,50,2:40
150,75,150,850,15:20
180,90,330,670,13:26
240,120,570,430,11:35
300,150,870,130,10:52
300,150,300,700,16:40
400,200,700,300,15:30
800,400,800,200,16:30
500,250,500,500,20:00
300,150,800,200,21:20
400,200,400,600,1:00
900,450,900,100,0:13
100,50,100,900,20:00
100,50,200,800,20:00
130,65,330,670,16:18
700,350,700,300,8:51
500,250,500,500,12:00
500,250,500,500,14:00
470,235,970,30,14:07
480,240,480,520,18:10
380,190,860,140,18:44
920,460,920,80,20:10
1110,555,0,1000,23:48
125,62.5,125,875,14:00
500,250,625,375,3:30
625,312.5,625,375,5:12
780,390,780,220,6:33
300,150,300,700,12:40
850,425,850,150,10:21
300,150,300,700,16:40
350,175,650,350,16:00
650,325,650,350,17:04
550,275,550,450,19:38
430,215,980,20,20:05
480,240,480,520,0:10
360,180,840,160,0:53
500,250,500,500,4:00
370,185,870,130,4:42
500,250,500,500,8:00
120,60,620,380,10:20
150,75,770,230,9:04
100,50,870,130,10:36
140,70,140,860,22:17
140,70,280,720,22:17
140,70,420,580,22:17
130,65,550,450,22:55
120,60,670,330,23:30
160,80,830,170,22:07
140,70,970,30,22:25
120,60,120,880,14:40
140,70,260,740,12:34
110,55,370,630,15:27
90,45,460,540,18:00
130,65,590,410,14:18
100,50,690,310,16:12
140,70,830,170,14:25
140,70,970,30,14:25
60,30,60,940,23:20
200,100,260,740,1:24
300,150,560,440,22:56
350,175,910,90,22:30
600,300,600,400,1:20
100,50,700,300,8:00
70,35,770,230,10:34
70,35,840,160,10:34
250,125,250,750,14:00
120,60,370,630,20:30
120,60,490,510,20:30
120,60,610,390,20:30
360,180,970,30,16:10
100,50,100,900,12:00
150,75,250,750,6:00
100,50,350,650,11:00
420,210,770,230,1:05
150,75,920,80,3:04
180,90,180,820,13:06
210,105,390,610,11:48
120,60,510,490,16:10
100,50,610,390,17:48
100,50,710,290,17:48
80,40,790,210,19:15
200,100,990,10,16:06
250,125,250,750,0:00
170,85,420,580,2:49
300,150,720,280,23:52
240,120,960,40,0:20
70,35,70,930,4:34
70,35,140,860,4:34
70,35,210,790,4:34
80,40,290,710,1:45
70,35,360,640,4:17
110,55,470,530,21:38
100,50,570,430,22:36
150,75,720,280,19:44
110,55,830,170,21:05
290,145,290,710,0:53
110,55,400,600,8:54
90,45,490,510,11:20
100,50,590,410,10:12
100,50,690,310,10:12
100,50,790,210,10:12
130,65,920,80,9:13
500,250,500,500,6:00
800,400,800,200,12:30
1000,500,0,1000,22:00
900,450,900,100,4:13
500,250,500,500,22:00
600,300,600,400,5:20
500,250,500,500,14:00
500,250,500,500,22:00
1000,500,0,1000,6:00
300,150,300,700,8:40
500,250,800,200,13:18
400,200,400,600,23:00
400,200,800,200,5:00
300,150,300,700,17:00
500,250,800,200,20:48
1000,500,0,1000,6:00
300,150,300,700,0:40
300,150,600,400,6:40
250,125,850,150,13:12
400,200,400,600,23:00
450,225,850,150,4:40
300,150,300,700,16:40
300,150,600,400,14:40
300,150,900,100,20:40
800,400,800,200,4:30
200,100,200,800,20:00
400,200,600,400,22:00
600,300,600,400,5:20
400,200,400,600,23:00
500,250,900,100,4:24
350,175,350,650,8:42
300,150,650,350,6:20
600,300,600,400,13:20
800,400,800,200,16:40
